"projectID","projectAcronym","name","country","city","role","activityType","SME","ecContribution","netEcContribution","totalCost","geolocation"
952404,"TWINALT","UNIVERSITA DEGLI STUDI DI MILANO","IT","Milano","participant","HES","false","127206.25","127206.25","127206.25","45.4600626,9.1946599782806"
857491,"REMODEL","INSTITUTO DE BIOLOGIA MOLECULAR E CELULAR-IBMC","PT","Porto","coordinator","REC","false","313021.25","313021.25","313021.25","41.1754779,-8.6031118"
857491,"REMODEL","KOBENHAVNS UNIVERSITET","DK","Kobenhavn","participant","HES","false","109375","109375","109375","55.68012,12.571506"
857491,"REMODEL","UNIVERSITEIT UTRECHT","NL","Utrecht","participant","HES","false","190250","190250","190250","52.0851807,5.1754514"
857491,"REMODEL","JULIUS-MAXIMILIANS-UNIVERSITAT WURZBURG","DE","Wuerzburg","participant","HES","false","187001.25","187001.25","187001.25","49.769478500000005,9.867345661955408"
814426,"NanoInformaTIX","UNIVERSITAT ROVIRA I VIRGILI","ES","Tarragona","participant","HES","false","233993.75","233993.75","233993.75","41.1172364,1.2546057"
814426,"NanoInformaTIX","UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA","IT","Roma","participant","HES","false","188750","188750","188750","41.8514639,12.6295217"
814426,"NanoInformaTIX","BUNDESINSTITUT FUER RISIKOBEWERTUNG","DE","Berlin","participant","REC","false","309000","309000","309000","52.53038,13.2956688"
814426,"NanoInformaTIX","MINTEK","ZA","Randburg","participant","REC","false","90000","90000","90000","-26.0612465,27.9556829"
814426,"NanoInformaTIX","AARHUS UNIVERSITET","DK","Aarhus C","participant","HES","false","217213.75","217213.75","217213.75","56.171028,10.199381"
814426,"NanoInformaTIX","SWANSEA UNIVERSITY","UK","Swansea","participant","HES","false","284945","284945","284945","51.6130052,-3.9810743651994"
814426,"NanoInformaTIX","UNIVERSITEIT LEIDEN","NL","Leiden","participant","HES","false","350000","350000","350000","52.1566349,4.4867397"
814426,"NanoInformaTIX","HELSINGIN YLIOPISTO","FI","HELSINGIN YLIOPISTO","participant","HES","false","300875","300875","300875","60.1721612,24.947271"
814426,"NanoInformaTIX","NATIONAL CHENG KUNG UNIVERSITY","TW","Tainan","participant","HES","false","0","0","148965","23.0010176,120.2231483309523"
814426,"NanoInformaTIX","UNIVERSITY COLLEGE DUBLIN, NATIONAL UNIVERSITY OF IRELAND, DUBLIN","IE","Dublin","participant","HES","false","178175","178175","178175","53.3070621,-6.22532774688726"
814426,"NanoInformaTIX","UPPINTECH OU","EE","Tartu","participant","PRC","TRUE","130000","130000","130000","58.3801207,26.72245"
814426,"NanoInformaTIX","UNIVERSITE CATHOLIQUE DE L'OUEST ASSOCIATION SAINT YVES","FR","Angers","participant","REC","false","80125","80125","80125","47.464731,-0.5487244"
814426,"NanoInformaTIX","TEMAS SOLUTIONS GMBH","CH","Hausen","participant","PRC","false","150554.82","150554.82","150554.82","47.4570805,8.2139032"
814426,"NanoInformaTIX","IDEACONSULT LIMITED LIABILITY COMPANY","BG","Sofia","participant","PRC","TRUE","239125","239125","239125","42.6933882,23.3224274"
814426,"NanoInformaTIX","THOMAS MORE KEMPEN VZW","BE","Geel","participant","HES","false","234000","234000","234000","51.1609885,4.9614782"
814426,"NanoInformaTIX","SINTEF OCEAN AS","NO","TRONDHEIM","participant","REC","false","170000","170000","170000","63.422577,10.4354518"
814426,"NanoInformaTIX","ETHNICON METSOVION POLYTECHNION","EL","ATHINA","participant","HES","false","163750","163750","163750","38.9953683,21.9877132"
814426,"NanoInformaTIX","NATIONAL CENTER FOR NANOSCIENCE AND TECHNOLOGY","CN","BEIJING","participant","REC","false","0","0","818750","40.190632,116.412144"
814426,"NanoInformaTIX","TEMAS AG TECHNOLOGY AND MANAGEMENT SERVICES","CH","Opfikon","participant","PRC","TRUE","88195.18","88195.18","88195.18","47.38995795,8.5157057381945"
814426,"NanoInformaTIX","EUROPEAN RESEARCH SERVICES GMBH","DE","Muenster","participant","PRC","false","168000","168000","168000","51.9667372,7.5912843"
814426,"NanoInformaTIX","HELMHOLTZ-ZENTRUM FUR UMWELTFORSCHUNG GMBH - UFZ","DE","Leipzig","participant","REC","false","140000","140000","140000","51.352181,12.4289558"
